trials,p1choice,p1guess,p2choice,p2guess,realSum,p1IsRight,p2IsRight,winner,p1score,p2score
1,2,4,1,3,3,0,1,2,0,1
2,1,4,3,4,4,1,1,0,0,1
3,3,5,3,4,6,0,0,0,0,1
4,3,4,2,5,5,0,1,2,0,2
5,3,5,2,3,5,1,0,1,1,2
6,1,4,2,5,3,0,0,0,1,2
7,2,4,3,6,5,0,0,0,1,2
8,3,6,3,6,6,1,1,0,1,2
9,3,6,3,6,6,1,1,0,1,2
10,2,3,2,5,4,0,0,0,1,2
11,2,3,3,6,5,0,0,0,1,2
12,3,6,3,6,6,1,1,0,1,2
13,2,4,1,4,3,0,0,0,1,2
14,2,4,1,2,3,0,0,0,1,2
15,3,6,2,5,5,0,1,2,1,3
16,1,2,3,5,4,0,0,0,1,3
17,3,5,3,4,6,0,0,0,1,3
18,2,4,1,2,3,0,0,0,1,3
19,2,5,1,2,3,0,0,0,1,3
20,1,3,2,4,3,1,0,1,2,3
21,2,3,2,5,4,0,0,0,2,3
22,1,2,2,4,3,0,0,0,2,3
23,3,6,1,3,4,0,0,0,2,3
24,3,6,3,4,6,1,0,1,3,3
25,3,5,3,6,6,0,1,2,3,4
26,3,4,2,4,5,0,0,0,3,4
27,2,3,3,6,5,0,0,0,3,4
28,1,4,3,5,4,1,0,1,4,4
29,1,3,3,6,4,0,0,0,4,4
30,1,4,1,3,2,0,0,0,4,4
31,3,5,3,4,6,0,0,0,4,4
32,2,5,1,4,3,0,0,0,4,4
33,1,2,3,6,4,0,0,0,4,4
34,2,4,1,4,3,0,0,0,4,4
35,2,4,2,5,4,1,0,1,5,4
36,3,6,2,5,5,0,1,2,5,5
37,1,2,1,3,2,1,0,1,6,5
38,1,4,3,4,4,1,1,0,6,5
39,3,5,3,4,6,0,0,0,6,5
40,3,6,3,6,6,1,1,0,6,5
41,3,5,3,5,6,0,0,0,6,5
42,1,2,1,4,2,1,0,1,7,5
43,3,6,2,3,5,0,0,0,7,5
44,2,4,3,5,5,0,1,2,7,6
45,2,3,2,5,4,0,0,0,7,6